council|year|indicator|category|amount_kwacha|source
Lufwanyama Town Council|2024|CDF Allocation|CDF|30600000.0|Official Lufwanyama Town Council publications
Lufwanyama Town Council|2025|Approved Council Budget|Total Budget|105377916.0|Official Lufwanyama Town Council 2025 Budget
Lufwanyama Town Council|2025|CDF Programme|CDF|36058151.0|Official Lufwanyama Town Council 2025 Budget
Lufwanyama Town Council|2025|Community Projects|CDF Community Projects|21864351.0|Official Lufwanyama Town Council 2025 Budget
Lufwanyama Town Council|2025|Women and Youth Empowerment|CDF Empowerment|6195446.0|Official Lufwanyama Town Council 2025 Budget
Lufwanyama Town Council|2025|CDF Administration|CDF Administration|1802908.0|Official Lufwanyama Town Council 2025 Budget
Lufwanyama Town Council|2025|Secondary and Skills Bursaries|CDF Bursaries|6195446.0|Official Lufwanyama Town Council 2025 Budget
Lufwanyama Town Council|2025|Disaster Component|CDF Disaster|929316.88|Official Lufwanyama Town Council 2025 Budget
